GeneID,GeneName,Log2FC_Y_VS_N
ENSG00000244437,IGKV3-15,0.382253365
ENSG00000286848,AC009570.2,0.381345484
ENSG00000239951,IGKV3-20,0.376503273
ENSG00000133742,CA1,0.37576088
ENSG00000211679,IGLC3,0.374601454
ENSG00000149131,SERPING1,0.366941618
ENSG00000176083,ZNF683,0.358459398
ENSG00000196169,KIF19,0.358102568
ENSG00000240041,IGHJ4,0.35753133
ENSG00000167768,KRT1,0.354372264
ENSG00000188175,HEPACAM2,0.345700912
ENSG00000211678,IGLJ3,0.345677943
ENSG00000211668,IGLV2-11,0.344854923
ENSG00000254681,PKD1P5,0.343863208
ENSG00000211644,IGLV1-51,0.341533362
ENSG00000108387,SEPTIN4,0.340591229
ENSG00000211676,IGLJ2,0.340063538
ENSG00000178752,ERFE,0.339615837
ENSG00000173369,C1QB,0.3386649
ENSG00000243290,IGKV1-12,0.336007153
ENSG00000211938,IGHV3-7,0.331169823
ENSG00000211966,IGHV5-51,0.321364007
ENSG00000230021,AL669831.3,0.321230737
ENSG00000136819,C9orf78,0.31892109
ENSG00000179348,GATA2,0.318000723
ENSG00000211593,IGKJ5,0.317078851
ENSG00000211663,IGLV3-19,0.316593112
ENSG00000187244,BCAM,0.31474239
ENSG00000211596,IGKJ2,0.314080439
ENSG00000211945,IGHV1-18,0.309087844
ENSG00000227242,AC244394.2,0.308794247
ENSG00000278196,IGLV2-8,0.308665595
ENSG00000240040,AC244205.1,0.304818352
ENSG00000237973,MTCO1P12,0.304086506
ENSG00000267062,AC018761.2,0.303693954
ENSG00000231412,AC005392.2,0.302672387
ENSG00000187608,ISG15,0.302407997
ENSG00000175894,TSPEAR,0.30204555
ENSG00000188157,AGRN,0.301926257
ENSG00000170476,MZB1,0.301839234
ENSG00000137267,TUBB2A,0.301671628
ENSG00000169679,BUB1,0.299782708
ENSG00000257607,AC073957.2,0.293544107
ENSG00000078081,LAMP3,0.289371368
ENSG00000174807,CD248,0.28647222
ENSG00000140287,HDC,0.286092471
ENSG00000167815,PRDX2,0.286070651
ENSG00000211594,IGKJ4,0.284133885
ENSG00000211673,IGLV3-1,0.283332974
ENSG00000215030,RPL13P12,0.282846794
ENSG00000233614,DDX11L10,0.282802488
ENSG00000080573,COL5A3,0.282659067
ENSG00000164849,GPR146,0.281958427
ENSG00000184979,USP18,0.281562619
ENSG00000287670,AC108479.1,0.278826533
ENSG00000290444,,0.277474362
ENSG00000284049,MIR650,0.276056369
ENSG00000008441,NFIX,0.274475896
ENSG00000236056,GAPDHP14,0.273845382
ENSG00000285628,AC126755.5,0.272609277
ENSG00000204044,SLC12A5-AS1,0.272082228
ENSG00000250349,AF241726.1,0.271123794
ENSG00000198959,TGM2,0.269132212
ENSG00000289810,,0.268370143
ENSG00000184792,OSBP2,0.267250705
ENSG00000100985,MMP9,0.267228309
ENSG00000173040,EVC2,0.266924975
ENSG00000122733,PHF24,0.265796667
ENSG00000168528,SERINC2,0.2638526
ENSG00000213088,ACKR1,0.263029051
ENSG00000211949,IGHV3-23,0.260951146
ENSG00000143184,XCL1,0.260592631
ENSG00000204314,PRRT1,0.260591619
ENSG00000291052,,0.259996786
ENSG00000241351,IGKV3-11,0.259993329
ENSG00000211900,IGHJ6,0.259678825
ENSG00000243064,ABCC13,0.259672772
ENSG00000187902,SHISA7,0.259165617
ENSG00000130300,PLVAP,0.255368147
ENSG00000183793,NPIPA5,0.254882251
ENSG00000156298,TSPAN7,0.254150334
ENSG00000004939,SLC4A1,0.253482675
ENSG00000170390,DCLK2,0.253337538
ENSG00000159164,SV2A,0.252941887
ENSG00000288703,,0.249780424
ENSG00000092621,PHGDH,0.249565248
ENSG00000211962,IGHV1-46,0.249303491
ENSG00000211935,IGHV1-3,0.248639653
ENSG00000234456,MAGI2-AS3,0.248180864
ENSG00000233024,NPIPA9,0.247502965
ENSG00000211598,IGKV4-1,0.246345699
ENSG00000006740,ARHGAP44,0.245996338
ENSG00000211947,IGHV3-21,0.245628184
ENSG00000211660,IGLV2-23,0.245258354
ENSG00000249992,TMEM158,0.244934573
ENSG00000290355,,0.244749112
ENSG00000182489,XKRX,0.244296173
ENSG00000230606,AC092683.1,0.244059778
ENSG00000198353,HOXC4,0.24347343
ENSG00000236397,DDX11L2,0.240170759
ENSG00000255221,CARD17,0.238894148
ENSG00000166965,RCCD1,0.238151141
ENSG00000146535,GNA12,0.238058242
ENSG00000211666,IGLV2-14,0.237626824
ENSG00000105492,SIGLEC6,0.236500399
ENSG00000211890,IGHA2,0.235875503
ENSG00000167034,NKX3-1,0.232909642
ENSG00000211943,IGHV3-15,0.232874783
ENSG00000289514,,0.231863401
ENSG00000196517,SLC6A9,0.230984758
ENSG00000211959,IGHV4-39,0.230970679
ENSG00000134668,SPOCD1,0.230331525
ENSG00000233261,FAM238A,0.229807728
ENSG00000089692,LAG3,0.229552052
ENSG00000205746,PKD1P4,0.229186471
ENSG00000149534,MS4A2,0.22907301
ENSG00000167994,RAB3IL1,0.22905972
ENSG00000120645,IQSEC3,0.228687435
ENSG00000239264,TXNDC5,0.227655173
ENSG00000290834,,0.226803945
ENSG00000196407,THEM5,0.225191676
ENSG00000291315,,0.225047058
ENSG00000184545,DUSP8,0.224435402
ENSG00000104522,GFUS,0.223923465
ENSG00000228463,AP006222.1,0.222952102
ENSG00000215533,LINC00189,0.222703149
ENSG00000187942,LDLRAD2,0.221618248
ENSG00000211779,TRAV5,0.221395982
ENSG00000263167,AC115099.1,0.220890117
ENSG00000260671,AC010536.2,0.220358207
ENSG00000175352,NRIP3,0.218735355
ENSG00000156515,HK1,0.218366993
ENSG00000244703,CD46P1,0.216266503
ENSG00000141753,IGFBP4,0.215270401
ENSG00000213866,YBX1P10,0.214367511
ENSG00000235621,LINC00494,0.214080455
ENSG00000290797,,0.213881178
ENSG00000224373,IGHV4-59,0.213718339
ENSG00000029534,ANK1,0.213698055
ENSG00000108379,WNT3,0.21354885
ENSG00000169047,IRS1,0.213021647
ENSG00000259040,BLOC1S5-TXNDC5,0.211697508
ENSG00000143297,FCRL5,0.211679175
ENSG00000160781,PAQR6,0.210045387
ENSG00000120057,SFRP5,0.209959637
ENSG00000239702,RN7SL507P,0.209946899
ENSG00000244620,AC246787.2,0.209240399
ENSG00000257495,KRT73-AS1,0.209217953
ENSG00000198502,HLA-DRB5,0.208915024
ENSG00000230795,HLA-K,0.20859697
ENSG00000211670,IGLV3-9,0.208520665
ENSG00000205810,KLRC3,0.207717444
ENSG00000229754,CXCR2P1,0.207389561
ENSG00000143416,SELENBP1,0.207373319
ENSG00000114784,EIF1B,0.20531406
ENSG00000197582,GPX1P1,0.205086505
ENSG00000163751,CPA3,0.204970357
ENSG00000291236,,0.204796196
ENSG00000104728,ARHGEF10,0.204593855
ENSG00000279057,AC141586.4,0.203634333
ENSG00000172331,BPGM,0.203564698
ENSG00000243797,AC004917.1,0.203396752
ENSG00000224203,RPS23P10,0.203159179
ENSG00000179262,RAD23A,0.202989672
ENSG00000162873,KLHDC8A,0.202976787
ENSG00000100450,GZMH,0.202931003
ENSG00000214548,MEG3,0.202209525
ENSG00000211721,TRBV6-5,0.201510698
ENSG00000170486,KRT72,0.201409773
ENSG00000224861,YBX1P1,0.200806985
ENSG00000289636,,0.199084918
ENSG00000212330,RNU6-244P,0.198762282
ENSG00000282420,TRBJ1-2,0.198248853
ENSG00000204613,TRIM10,0.197337822
ENSG00000211898,IGHD,0.197257894
ENSG00000289399,,0.197199562
ENSG00000162383,SLC1A7,0.195384279
ENSG00000235576,LINC01871,0.194703789
ENSG00000288778,,0.194464769
ENSG00000183837,PNMA3,0.193916703
ENSG00000286830,AC105052.5,0.193710889
ENSG00000142798,HSPG2,0.193238546
ENSG00000257452,AC004551.1,0.192851154
ENSG00000073792,IGF2BP2,0.191960363
ENSG00000290434,,0.190463056
ENSG00000169402,RSPH10B2,0.190050596
ENSG00000111331,OAS3,0.189949856
ENSG00000007350,TKTL1,0.189463387
ENSG00000176720,BOK,0.18944659
ENSG00000171954,CYP4F22,0.188229848
ENSG00000261305,AC005586.1,0.188030838
ENSG00000178809,TRIM73,0.187910657
ENSG00000279168,AC105052.4,0.18747554
ENSG00000250673,REELD1,0.187441145
ENSG00000136929,HEMGN,0.187333085
ENSG00000125534,PPDPF,0.186980607
ENSG00000119326,CTNNAL1,0.186284587
ENSG00000289692,,0.18593639
ENSG00000242472,IGHJ5,0.185933246
ENSG00000131981,LGALS3,0.185887156
ENSG00000154134,ROBO3,0.18548929
ENSG00000266644,AC103810.5,0.185287461
ENSG00000163697,APBB2,0.185144192
ENSG00000238039,AC244197.2,0.185104496
ENSG00000112294,ALDH5A1,0.184726753
ENSG00000074803,SLC12A1,0.184218749
ENSG00000282320,TRBJ1-1,0.183615321
ENSG00000204010,IFIT1B,0.183299221
ENSG00000110237,ARHGEF17,0.183230871
ENSG00000026559,KCNG1,0.183204452
ENSG00000186049,KRT73,0.183135509
ENSG00000169439,SDC2,0.182560673
ENSG00000227557,MTND3P9,0.182524599
ENSG00000175592,FOSL1,0.182407163
ENSG00000257743,MGAM2,0.181986506
ENSG00000230836,LINC01293,0.181974558
ENSG00000252079,RNU6-327P,0.181032446
ENSG00000179271,GADD45GIP1,0.179583521
ENSG00000223552,CCR5AS,0.179085611
ENSG00000288758,,0.179084506
ENSG00000211806,TRAV25,0.178677407
ENSG00000255328,AC136475.5,0.17776993
ENSG00000168765,GSTM4,0.176996893
ENSG00000166105,GLB1L3,0.176957207
ENSG00000277349,CICP25,0.17691593
ENSG00000228318,AP001610.2,0.17649157
ENSG00000287642,AC093599.2,0.176317986
ENSG00000211899,IGHM,0.176145978
ENSG00000214826,DDX12P,0.17610974
ENSG00000165338,HECTD2,0.175901233
ENSG00000197993,KEL,0.175844048
ENSG00000211694,TRGV10,0.175759064
ENSG00000255974,CYP2A6,0.174704152
ENSG00000125148,MT2A,0.174681277
ENSG00000118473,SGIP1,0.173734682
ENSG00000241484,ARHGAP8,0.173000235
ENSG00000291309,,0.172761352
ENSG00000204388,HSPA1B,0.17274933
ENSG00000204792,LINC01291,0.172530309
ENSG00000275464,FP565260.1,0.172467761
ENSG00000289366,,0.171970476
ENSG00000228078,HLA-U,0.171245088
ENSG00000143321,HDGF,0.17117757
ENSG00000169877,AHSP,0.171170553
ENSG00000112139,MDGA1,0.171147287
ENSG00000242887,IGHJ3,0.170944794
ENSG00000256039,LINC02446,0.17000276
ENSG00000102760,RGCC,0.16995314
ENSG00000104321,TRPA1,0.169935446
ENSG00000130751,NPAS1,0.169717097
ENSG00000159403,C1R,0.169705863
ENSG00000234336,JAZF1-AS1,0.169534927
ENSG00000252316,RNY4,0.169526648
ENSG00000224093,BCAR3-AS1,0.169126265
ENSG00000132471,WBP2,0.168643962
ENSG00000282742,AC093323.3,0.168545358
ENSG00000155962,CLIC2,0.168448102
ENSG00000162722,TRIM58,0.168306839
ENSG00000285117,AC068724.4,0.168090226
ENSG00000270972,AC136475.7,0.167981894
ENSG00000271447,MMP28,0.167957355
ENSG00000171840,NINJ2,0.167956943
ENSG00000111249,CUX2,0.167760162
ENSG00000134321,RSAD2,0.167687134
ENSG00000250615,AC008581.1,0.167156798
ENSG00000114698,PLSCR4,0.166978205
ENSG00000057757,PITHD1,0.166739378
ENSG00000241657,TRBV11-2,0.166625463
ENSG00000263366,ABHD17AP5,0.166454481
ENSG00000162545,CAMK2N1,0.165523599
ENSG00000279794,AC024580.1,0.165512203
ENSG00000236320,SLFN14,0.16540578
ENSG00000143162,CREG1,0.16533909
ENSG00000108679,LGALS3BP,0.165151848
ENSG00000234477,AC004231.1,0.165089242
ENSG00000264659,AC064805.2,0.165030446
ENSG00000270164,LINC01480,0.163905811
ENSG00000251230,MIR3945HG,0.163370332
ENSG00000136542,GALNT5,0.163048652
ENSG00000197646,PDCD1LG2,0.162848297
ENSG00000129244,ATP1B2,0.162753584
ENSG00000269959,SPACA6P-AS,0.162650703
ENSG00000134765,DSC1,0.162600577
ENSG00000185666,SYN3,0.162514195
ENSG00000198892,SHISA4,0.162412768
ENSG00000286943,AP001992.2,0.162394152
ENSG00000197766,CFD,0.162393433
ENSG00000142949,PTPRF,0.162170949
ENSG00000261655,AC100803.3,0.162141051
ENSG00000130830,MPP1,0.162004377
ENSG00000124098,FAM210B,0.161860536
ENSG00000285618,AC074132.1,0.161661943
ENSG00000060138,YBX3,0.16160025
ENSG00000142453,CARM1,0.161055444
ENSG00000253982,AC100810.1,0.161046673
ENSG00000075275,CELSR1,0.160671123
ENSG00000187536,TPM3P7,0.160304193
ENSG00000255641,AC068775.1,0.160140975
ENSG00000166947,EPB42,0.159936342
ENSG00000250687,NAIPP1,0.159854432
ENSG00000291208,,0.159620674
ENSG00000289933,,0.159523899
ENSG00000213626,LBH,0.158618947
ENSG00000284594,MIR7847,0.158550397
ENSG00000156113,KCNMA1,0.158293683
ENSG00000141084,RANBP10,0.158189574
ENSG00000260271,AL132996.1,0.158177988
ENSG00000267395,DM1-AS,0.158049259
ENSG00000288908,,0.157983346
ENSG00000258851,AL139300.2,0.157897571
ENSG00000180409,OR10AA1P,0.157785651
ENSG00000162399,BSND,0.157550401
ENSG00000173372,C1QA,0.157402563
ENSG00000207782,MIR150,0.156988204
ENSG00000253304,TMEM200B,0.156887852
ENSG00000229405,AC092580.1,0.156809003
ENSG00000229759,MRPS18AP1,0.156710179
ENSG00000128165,ADM2,0.15669488
ENSG00000086232,EIF2AK1,0.156277357
ENSG00000186470,BTN3A2,0.156235356
ENSG00000166123,GPT2,0.156211559
ENSG00000106366,SERPINE1,0.155795165
ENSG00000160284,SPATC1L,0.155462345
ENSG00000143850,PLEKHA6,0.155076925
ENSG00000237254,TRBV30,0.154904935
ENSG00000122644,ARL4A,0.154822326
ENSG00000211788,TRAV13-1,0.154612282
ENSG00000234758,AC034228.2,0.154275665
ENSG00000289439,,0.154251491
ENSG00000266129,SRP68P1,0.154200424
ENSG00000185339,TCN2,0.154181587
ENSG00000166126,AMN,0.154129983
ENSG00000278233,RNA5-8SN2,0.154108899
ENSG00000204389,HSPA1A,0.153992351
ENSG00000108244,KRT23,0.153940386
ENSG00000211716,TRBV9,0.153630274
ENSG00000162512,SDC3,0.153597253
ENSG00000223750,SIRPB3P,0.153085282
ENSG00000198933,TBKBP1,0.152843936
ENSG00000105409,ATP1A3,0.152674605
ENSG00000158966,CACHD1,0.152600806
ENSG00000091972,CD200,0.152408691
ENSG00000267749,AC092068.3,0.152315667
ENSG00000135114,OASL,0.152161596
ENSG00000269482,Z69720.1,0.151971531
ENSG00000211844,TRAJ45,0.151949275
ENSG00000289934,,0.151947152
ENSG00000264539,MIR548AR,0.151400729
ENSG00000227262,HCG4B,0.151324535
ENSG00000002933,TMEM176A,0.151250955
ENSG00000131016,AKAP12,0.151245741
ENSG00000084710,EFR3B,0.1510686
ENSG00000211778,TRAV4,0.150976859
ENSG00000172270,BSG,0.15076639
ENSG00000227051,C14orf132,0.150351532
ENSG00000225465,RFPL1S,0.15028858
ENSG00000286429,BX004807.1,0.150190612
ENSG00000104936,DMPK,0.149807716
ENSG00000289607,,0.149720625
ENSG00000179914,ITLN1,0.149633359
ENSG00000187862,TTC24,0.149466589
ENSG00000141837,CACNA1A,0.149446061
ENSG00000145354,CISD2,0.149418469
ENSG00000118777,ABCG2,0.148834162
ENSG00000265612,MIR4539,0.148427861
ENSG00000162551,ALPL,0.148065487
ENSG00000130592,LSP1,0.147957833
ENSG00000157216,SSBP3,0.147944921
ENSG00000170315,UBB,0.147904065
ENSG00000214872,SMTNL1,0.147870523
ENSG00000256937,KRT17P8,0.147766221
ENSG00000275719,AC008622.2,0.146919234
ENSG00000066926,FECH,0.146625653
ENSG00000100558,PLEK2,0.14659986
ENSG00000137198,GMPR,0.146504068
ENSG00000132470,ITGB4,0.146503691
ENSG00000185883,ATP6V0C,0.146500056
ENSG00000205277,MUC12,0.146425419
ENSG00000269903,AC025165.4,0.145745512
ENSG00000136842,TMOD1,0.145633905
ENSG00000164050,PLXNB1,0.145623093
ENSG00000289715,,0.145499966
ENSG00000079308,TNS1,0.145495303
ENSG00000181143,MUC16,0.145204212
ENSG00000265401,AC093484.3,0.144993438
ENSG00000255151,GLYATL1B,0.144860646
ENSG00000234883,MIR155HG,0.144622313
ENSG00000157601,MX1,0.144531175
ENSG00000289234,,0.144193556
ENSG00000197256,KANK2,0.144139645
ENSG00000205517,RGL3,0.144118625
ENSG00000129204,USP6,0.144076228
ENSG00000259065,AC005520.2,0.144050698
ENSG00000259784,AC093525.1,0.14402209
ENSG00000211804,TRDV1,0.144012347
ENSG00000256553,TRAV1-2,0.14392609
ENSG00000278996,FP671120.4,0.143899785
ENSG00000266412,NCOA4,0.143767898
ENSG00000275126,H4C13,0.143704523
ENSG00000100225,FBXO7,0.143655346
ENSG00000130733,YIPF2,0.143433639
ENSG00000170485,NPAS2,0.143432782
ENSG00000130821,SLC6A8,0.143379844
ENSG00000269564,AC008753.2,0.143207988
ENSG00000253549,CA3-AS1,0.143058
ENSG00000158578,ALAS2,0.143017266
ENSG00000164037,SLC9B1,0.142910389
ENSG00000160223,ICOSLG,0.142815417
ENSG00000242609,CCDC137P,0.142705051
ENSG00000125355,TMEM255A,0.142411709
ENSG00000179044,EXOC3L1,0.142338545
ENSG00000070182,SPTB,0.142283144
ENSG00000260272,AC093525.2,0.142276011
ENSG00000111335,OAS2,0.141976755
ENSG00000136908,DPM2,0.141869813
ENSG00000260091,AC093752.2,0.141743404
ENSG00000275527,AC100835.2,0.141640732
ENSG00000260398,AC068700.1,0.141401554
ENSG00000287632,AC112253.1,0.140664759
ENSG00000183691,NOG,0.140292096
ENSG00000269307,AC010463.1,0.140154773
ENSG00000259515,AL117209.1,0.140044024
ENSG00000188672,RHCE,0.139935435
ENSG00000092068,SLC7A8,0.13990953
ENSG00000261474,AC026471.4,0.139874347
ENSG00000258701,LINC00638,0.13944393
ENSG00000105647,PIK3R2,0.139430779
ENSG00000158715,SLC45A3,0.139419923
ENSG00000090674,MCOLN1,0.139290799
ENSG00000211751,TRBC1,0.139180079
ENSG00000284012,MIR6840,0.139147426
ENSG00000112335,SNX3,0.139101477
ENSG00000184226,PCDH9,0.138961667
ENSG00000267690,LDLRAD4-AS1,0.138945826
ENSG00000178719,GRINA,0.138865898
ENSG00000276953,TRBV12-4,0.138766776
ENSG00000231970,AL355490.2,0.138670215
ENSG00000258869,LINC02312,0.138614461
ENSG00000123358,NR4A1,0.138593993
ENSG00000139044,B4GALNT3,0.138559145
ENSG00000255108,AP006621.1,0.138511818
ENSG00000165283,STOML2,0.138460506
ENSG00000150672,DLG2,0.138319814
ENSG00000170271,FAXDC2,0.138110896
ENSG00000224177,LINC00570,0.138019043
ENSG00000211860,TRAJ29,0.137905983
ENSG00000229154,KCNQ5-AS1,0.137843324
ENSG00000198715,GLMP,0.137577785
ENSG00000236609,ZNF853,0.137450649
ENSG00000115526,CHST10,0.137408127
ENSG00000232300,FAM215B,0.137196956
ENSG00000141179,PCTP,0.136922081
ENSG00000127990,SGCE,0.136844367
ENSG00000049192,ADAMTS6,0.136806843
ENSG00000290391,,0.136664133
ENSG00000034152,MAP2K3,0.136512126
ENSG00000211790,TRAV8-4,0.136500416
ENSG00000103034,NDRG4,0.136288496
ENSG00000134824,FADS2,0.136016588
ENSG00000267412,AC092068.2,0.135932285
ENSG00000279861,AC073548.1,0.135921086
ENSG00000286256,AC084871.3,0.13588327
ENSG00000168878,SFTPB,0.135870353
ENSG00000275215,RNA5-8SN3,0.135830403
ENSG00000159784,FAM131B,0.135560713
ENSG00000115255,REEP6,0.135412538
ENSG00000268480,NFILZ,0.135378566
ENSG00000185915,KLHL34,0.135204796
ENSG00000275613,AC243830.1,0.135171837
ENSG00000164509,IL31RA,0.135039488
ENSG00000166848,TERF2IP,0.135025926
ENSG00000278535,DHRS11,0.134944222
ENSG00000288730,,0.134686308
ENSG00000227953,LINC01341,0.134663096
ENSG00000164068,RNF123,0.13445333
ENSG00000234572,LINC01800,0.134431597
ENSG00000161513,FDXR,0.1342347
ENSG00000250361,GYPB,0.133883904
ENSG00000164611,PTTG1,0.133806966
ENSG00000188368,PRR19,0.133788125
ENSG00000277632,CCL3,0.133706944
ENSG00000228998,AC091167.1,0.133524957
ENSG00000166825,ANPEP,0.133419079
ENSG00000168502,MTCL1,0.133400343
ENSG00000153563,CD8A,0.133306327
ENSG00000284269,MIR7855,0.133279867
ENSG00000111261,MANSC1,0.13305579
ENSG00000075340,ADD2,0.132994106
ENSG00000269720,CCDC194,0.132864376
ENSG00000116675,DNAJC6,0.132738138
ENSG00000165568,AKR1E2,0.132723139
ENSG00000281938,AC034228.3,0.132591546
ENSG00000137216,TMEM63B,0.13253358
ENSG00000256804,AC138466.2,0.132439053
ENSG00000287182,AC131953.2,0.132414174
ENSG00000204531,POU5F1,0.132400885
ENSG00000186810,CXCR3,0.132296299
ENSG00000254427,LINC02696,0.132228051
ENSG00000289814,,0.132101587
ENSG00000290081,,0.131922649
ENSG00000204632,HLA-G,0.131908333
ENSG00000269653,AC011479.3,0.131844446
ENSG00000173212,MAB21L3,0.131843563
ENSG00000273703,H2BC14,0.131594087
ENSG00000280071,GATD3B,0.131583186
ENSG00000135045,C9orf40,0.131581885
ENSG00000202089,RNU6-1306P,0.13148676
ENSG00000105393,BABAM1,0.131406556
ENSG00000185507,IRF7,0.131228605
ENSG00000168824,NSG1,0.130917974
ENSG00000141469,SLC14A1,0.130909714
ENSG00000250424,AC004691.2,0.130721737
ENSG00000274420,AC026318.1,0.130625426
ENSG00000277941,Z99774.4,0.130572217
ENSG00000279699,AC004264.2,0.130435427
ENSG00000152689,RASGRP3,0.130371636
ENSG00000017483,SLC38A5,0.130296819
ENSG00000105281,SLC1A5,0.130240763
ENSG00000283063,TRBV6-2,0.130162571
ENSG00000211794,TRAV12-3,0.130152506
ENSG00000260190,AL807752.5,0.130117501
ENSG00000218175,AC016739.1,0.129959116
ENSG00000177666,PNPLA2,0.129690225
ENSG00000229162,RUNX3-AS1,0.129646151
ENSG00000176919,C8G,0.129640062
ENSG00000259084,AL133467.3,0.129635304
ENSG00000284498,MIR564,0.129581883
ENSG00000124191,TOX2,0.129581232
ENSG00000227945,PTPRK-AS1,0.129102204
ENSG00000277443,MARCKS,0.128970195
ENSG00000274341,AC005899.6,0.128830835
ENSG00000234065,MTND4P26,0.128829857
ENSG00000211956,IGHV4-34,0.128499324
ENSG00000291221,,0.128467536
ENSG00000178860,MSC,0.12844971
ENSG00000232254,CSF2RBP1,0.128415852
ENSG00000226862,AC104463.2,0.128407047
ENSG00000235823,OLMALINC,0.128283458
ENSG00000161203,AP2M1,0.12827255
ENSG00000275468,AC004678.1,0.128215623
ENSG00000279825,AC003957.1,0.128107939
ENSG00000164398,ACSL6,0.128089051
ENSG00000181409,AATK,0.12799459
ENSG00000242779,ZNF702P,0.127983155
ENSG00000259605,AC074212.1,0.127978641
ENSG00000260193,LINC02846,0.127972884
ENSG00000207205,RNVU1-15,0.127897553
ENSG00000253651,SOD1P3,0.127725193
ENSG00000189127,ANKRD34B,0.127710014
ENSG00000096696,DSP,0.127679211
ENSG00000063854,HAGH,0.127617563
ENSG00000275328,SPDYE19P,0.127512223
ENSG00000167861,HID1,0.127493656
ENSG00000170525,PFKFB3,0.127477715
ENSG00000287913,AL132986.1,0.127279134
ENSG00000270990,AC069304.2,0.127257409
ENSG00000127399,LRRC61,0.127143371
ENSG00000270210,AC104695.2,0.127113634
ENSG00000180089,TMEM86B,0.127083487
ENSG00000221739,MIR1203,0.12698106
ENSG00000233930,KRTAP5-AS1,0.126784714
ENSG00000078804,TP53INP2,0.126701403
ENSG00000123096,SSPN,0.126674284
ENSG00000230005,SNAP47-AS1,0.126541439
ENSG00000233306,TRGV2,0.126453322
ENSG00000197540,GZMM,0.126268122
ENSG00000172548,NIPAL4,0.126199862
ENSG00000071564,TCF3,0.126191517
ENSG00000226259,GTF2H2B,0.126005741
ENSG00000278404,Z99774.5,0.126001919
ENSG00000290116,,0.125854984
ENSG00000275791,TRBV10-3,0.125748685
ENSG00000287979,AC253572.1,0.125641347
ENSG00000065978,YBX1,0.125599142
ENSG00000102057,KCND1,0.125413569
ENSG00000248527,MTATP6P1,0.125304156
ENSG00000196411,EPHB4,0.125241643
ENSG00000125818,PSMF1,0.125236196
ENSG00000267764,AC093567.1,0.125166485
ENSG00000211838,TRAJ52,0.125145529
ENSG00000169992,NLGN2,0.125141218
ENSG00000227473,TSSK5P,0.12480223
ENSG00000236521,NPAP1P4,0.12476491
ENSG00000198952,SMG5,0.124714628
ENSG00000117411,B4GALT2,0.124651416
ENSG00000211879,TRAJ10,0.124638769
ENSG00000130487,KLHDC7B,0.124604269
ENSG00000284969,AL049629.2,0.124541794
ENSG00000283787,PRR33,0.124414968
ENSG00000201098,RNY1,0.124249156
ENSG00000226564,FTH1P20,0.124225553
ENSG00000074219,TEAD2,0.124212577
ENSG00000030582,GRN,0.124076688
ENSG00000166278,C2,0.123905694
ENSG00000264553,MIR4257,0.12386424
ENSG00000149922,TBX6,0.12368772
ENSG00000143842,SOX13,0.123644904
ENSG00000125084,WNT1,0.12363523
ENSG00000188322,SBK1,0.123397297
ENSG00000287679,AL355347.1,0.123386839
ENSG00000166035,LIPC,0.123345246
ENSG00000282133,TRBJ1-3,0.123265033
ENSG00000143727,ACP1,0.123021316
ENSG00000081052,COL4A4,0.122973145
ENSG00000108771,DHX58,0.122911023
ENSG00000100154,TTC28,0.122869933
ENSG00000261286,ATP2C2-AS1,0.122746491
ENSG00000267264,AC006504.3,0.122645249
ENSG00000276241,AC243829.2,0.12256859
ENSG00000291338,,0.122489987
ENSG00000273295,AP000350.6,0.122482547
ENSG00000204428,LY6G5C,0.122366901
